data,values_g,diff_g,values_e,diff_e,prod_pe,prod_et,venda_g,venda_e,cos_year,sin_year
2013-02-01,755868.578,-68927.04300000006,499561.614,4029.0439999999935,2.491718541218362,6945.012,2.7211284254602197,1.8796962900296363,0.9996907179607909,-0.024869025373714312
2013-03-01,877078.355,121209.777,492401.798,-7159.815999999992,2.562317106631795,48593.933,2.7310706764566453,1.949554261917408,0.9996907179607909,-0.024869025373714312
2013-04-01,898023.975,20945.619999999995,490832.659,-1569.139000000025,2.6517511403814473,641527.941,2.7111979053516526,1.9587156565537944,0.9996907179607909,-0.024869025373714312
2013-05-01,926950.786,28926.810999999987,497308.677,6476.01800000004,2.661652454029537,962596.486,2.7012771398566073,1.929388513932582,0.9996907179607909,-0.024869025373714312
2013-06-01,838939.081,-88011.70499999996,515030.34,17721.663,2.7012771398566073,755520.495,2.6814570230770602,1.816310107296509,0.9996907179607909,-0.024869025373714312
2013-07-01,858133.83,19194.748999999956,540042.335,25011.994999999937,2.6814570230770602,909002.331,2.641847884982014,1.7814185460624383,0.9996907179607909,-0.024869025373714312
2013-08-01,911362.147,53228.31700000004,588496.956,48454.62100000004,2.671553767677627,969835.466,2.6517511403814473,1.761123518882704,0.9996907179607909,-0.024869025373714312
2013-09-01,840782.122,-70580.02500000002,593142.606,4645.650000000023,2.7111979053516526,896286.337,2.612107002707422,1.7560762925428317,0.9996907179607909,-0.024869025373714312
2013-10-01,906212.968,65430.84600000002,644873.768,51731.16200000001,2.6913641642649377,817993.832,2.6319407437941367,1.777645481516013,0.9996907179607909,-0.024869025373714312
2013-11-01,897126.302,-9086.665999999968,629495.588,-15378.180000000051,2.7211284254602197,733949.473,2.671553767677627,1.791847922175262,0.9996907179607909,-0.024869025373714312
2013-12-01,941548.328,44422.025999999954,670033.956,40538.36800000002,2.7410266485674812,450859.891,2.7509983484012253,1.8921700606677532,0.9996907179607909,-0.024869025373714312
2014-01-01,850742.694,-90805.63399999996,610430.599,-59603.35699999996,2.7509983484012253,31298.938,2.7609878014272793,1.9085265472897035,0.9997632030777526,-0.021760923043667127
2014-02-01,855295.043,4552.348999999929,607367.7135,-3062.8855000000917,2.7310706764566453,33080.633,2.770997054511952,1.9532516726939677,0.9997632030777526,-0.021760923043667127
2014-03-01,903148.706,47853.66300000006,553071.427,-54296.28649999993,2.7609878014272793,90264.426,2.821413793183257,2.061317955990309,0.9997632030777526,-0.021760923043667127
2014-04-01,956774.653,53625.94700000005,586983.191,33911.76399999997,2.781028178519638,534414.945,2.841793896687003,2.0548633103196816,0.9997632030777526,-0.021760923043667127
2014-05-01,942745.104,-14029.549,586640.826,-342.3649999999907,2.8011644588838704,896395.191,2.661652454029537,1.94,0.9997632030777526,-0.021760923043667127
2014-06-01,852595.889,-90149.21500000008,560580.465,-26060.361000000037,2.811273901455966,1018406.461,2.7410266485674812,1.92,0.9997632030777526,-0.021760923043667127
2014-07-01,879896.069,27300.18000000005,596438.373,35857.908000000054,2.770997054511952,941656.11,2.811273901455966,1.904512381572312,0.9997632030777526,-0.021760923043667127
2014-08-01,913080.028,33183.95900000003,622959.812,26521.439000000013,2.821413793183257,1111650.399,2.7910832709876816,1.900532605346786,0.9997632030777526,-0.021760923043667127
2014-09-01,913585.258,505.2299999999814,649507.994,26548.181999999917,2.7910832709876816,1012631.366,2.8011644588838704,1.8979590123600127,0.9997632030777526,-0.021760923043667127
2014-10-01,965120.377,51535.11899999995,720266.99,70758.99600000004,2.8315863668407126,1005863.447,2.781028178519638,1.8747785553908205,0.9997632030777526,-0.021760923043667127
2014-11-01,845512.827,-119607.54999999992,686150.95,-34116.04000000004,2.8623231494916883,544538.822,2.8315863668407126,1.898026700913822,0.9997632030777526,-0.021760923043667127
2014-12-01,971289.198,125776.37099999993,796194.906,110043.956,2.89343882348726,218167.132,2.8520387017884334,1.923882287007741,0.9997632030777526,-0.021760923043667127
2015-01-01,887345.737,-83943.46100000001,711871.221,-84323.68499999994,2.883020705482235,21070.801,2.8623231494916883,1.9568729728936336,0.9998260249293016,-0.018652610382238238
2015-02-01,927322.07155,-171215.86800000002,698570.149,-13301.072000000044,2.8520387017884334,6957.34,2.9250019404906777,2.1012695930744294,0.9998260249293016,-0.018652610382238238
2015-03-01,783760.428,67630.55900000001,800382.29,101812.14100000006,2.8726496590592245,55563.414,2.9463289356361777,2.1081574345927323,0.9998260249293016,-0.018652610382238238
2015-04-01,794263.82,10503.391999999993,805151.337,4769.0470000000205,2.9788057942980433,541675.927,2.935635039387261,2.075364627940623,0.9998260249293016,-0.018652610382238238
2015-05-01,762258.764,-32005.055999999982,767400.062,-37751.27500000002,2.9897737658417847,971079.36,2.9144267373621107,2.02603171612036,0.9998260249293016,-0.018652610382238238
2015-06-01,769552.53,7293.766000000061,786020.096,18620.033999999985,3.0344492819957813,1054518.549,2.903906611753846,1.9862981426467936,0.9998260249293016,-0.018652610382238238
2015-07-01,762618.946,-6933.584000000032,797610.834,11590.738000000012,3.104306047206631,934152.053,2.883020705482235,1.9577986434569776,0.9998260249293016,-0.018652610382238238
2015-08-01,747261.46,-15357.486000000034,821787.466,24176.631999999983,3.1163375985443276,1177958.623,2.8726496590592245,1.9311986078965824,0.9998260249293016,-0.018652610382238238
2015-09-01,743934.012,-3327.447999999975,841227.55,19440.08400000003,3.0231525258843504,892074.381,2.89343882348726,1.955339519503388,0.9998260249293016,-0.018652610382238238
2015-10-01,797607.837,53673.82500000007,884189.793,42962.2429999999,3.0458377549283036,952349.573,2.9570866197493006,2.279829824440875,0.9998260249293016,-0.018652610382238238
2015-11-01,758493.16,-39114.677000000025,731859.427,-152330.36599999992,2.9463289356361777,539861.992,3.011943533553269,2.497419959701406,0.9998260249293016,-0.018652610382238238
2015-12-01,747875.1571249999,155013.46999999997,809990.831,78131.40399999998,2.935635039387261,501474.38,3.092393701719117,2.555051776542875,0.9998260249293016,-0.018652610382238238
2016-01-01,752558.76,-160947.87,642620.022,-167370.809,3.0689064728116433,102287.0,3.104306047206631,2.6083492021371577,0.9998791829082299,-0.015544117432993868
2016-02-01,817672.372,65113.611999999965,642489.759,-130.2630000000354,2.903906611753846,66585.0,3.1532021548026696,2.6903749364084955,0.9998791829082299,-0.015544117432993868
2016-03-01,898171.745,80499.37300000002,652434.729,9944.970000000088,3.1913482417869514,351830.0,3.1657665676294577,2.7542675542035515,0.9998791829082299,-0.015544117432993868
2016-04-01,858668.445,-39503.30000000005,681713.796,29279.066999999923,3.244528249782406,965610.118,3.128493691322549,2.5647863069807104,0.9998791829082299,-0.015544117432993868
2016-05-01,774872.832,-83795.6129999999,767932.666,86218.87,3.1657665676294577,899211.457,3.0805954671319657,2.2713916343029688,0.9998791829082299,-0.015544117432993868
2016-06-01,763744.946,-11127.886000000057,722291.14,-45641.525999999954,3.0805954671319657,756758.338,3.0458377549283036,2.2723585383880343,0.9998791829082299,-0.015544117432993868
2016-07-01,756147.769,-7597.177000000025,751981.721,29690.58100000001,3.3304045525047665,1035656.298,2.9897737658417847,2.2317377516904884,0.9998791829082299,-0.015544117432993868
2016-08-01,792905.267,36757.49800000002,782392.217,30410.495999999926,3.2864441118185317,1028236.221,3.0231525258843504,2.2948081310889417,0.9998791829082299,-0.015544117432993868
2016-09-01,783513.661,-9391.606000000029,784989.057,2596.840000000084,3.663517314001607,914555.396,3.0344492819957813,2.3352619306402285,0.9998791829082299,-0.015544117432993868
